IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,75,6.47
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,54,3.82
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,3.78
8.210.156.6,2053,2053,true,HKG,Asia Pacific,Hong Kong,20,3.02
8.210.34.188,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,2.89
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,2.69
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,2.59
47.242.232.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,23,2.47
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,2.39
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,2.31
8.210.3.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,2.30
8.210.3.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,2.27
47.242.155.183,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,2.21
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,63,2.11
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,72,1.92
8.210.192.93,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,1.88
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,66,1.87
8.210.66.190,2087,2087,true,HKG,Asia Pacific,Hong Kong,73,1.82
47.242.155.183,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,1.76
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,1.74
8.210.65.1,80,80,false,HKG,Asia Pacific,Hong Kong,96,1.72
8.210.175.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,82,1.71
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,33,1.70
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,1.69
8.217.250.222,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,1.67
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,63,1.61
8.210.3.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,16,1.60
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,20,1.59
8.218.222.36,2095,2095,false,HKG,Asia Pacific,Hong Kong,82,1.55
